YEAR,TITLE,INDEX,ACTOR,DIRECTOR,DIRECTOR_NUM,AVG_RATING,NOMINATIONS,AWARDS,GROSS,MINUTES
2012,Silver Linings Playbook,70,Yes,David O. Russell,14,6.4,22,5,132092958
2012,Freelancers,71,Yes,Jessy Terrero,13,3,0,0,456350
2013,The Big Wedding,72,Yes,Justin Zackham,12,3.0,0,0,21819348
2013,Killing Season,73,Yes,Mark Steven Johnson,11,3.0,0,0,39881
2013,Grudge Match,74,Yes,Peter Segal,10,4.0,0,0,29807260
2013,The Family,75,Yes,Luc Besson,26,4.2,0,0,346730
2013,Last Vegas,76,Yes,Jon Turteltaub,9,4.4,0,0,63914167
2013,American Hustle,77,Yes,David O. Russell,14,6.2,3,1,150117807
2014,The Bag Man,78,Yes,David Grovic,8,3.6,0,0,56574
2015,Heist,79,Yes,Scott Mann,7,3.8,0,0,23510841
2015,The Intern,80,Yes,Nancy Meyers,6,4.3,2,0,75764672
2015,Joy,81,Yes,David O. Russell,14,4.4,1,0,56451232
2016,Dirty Grandpa,82,Yes,Dan Mazer,5,2.6,1,0,35593113
2016,The Comedian,83,Yes,Taylor Hackford,4,3.7,1,1,1659002
2016,Hands of Stone,84,Yes,Jonathan Jakubowicz,3,4.3,0,0,4712792
2019,Joker,85,Yes,Todd Phillips,2,4.8,3,1,335477657
2019,The Irishman,86,Yes,Martin Scorsese,68,5.7,24,0,968853
2020,The Comeback Trail,87,Yes,George Gallo,1,3,0,0,2407255
2020,The War with Grandpa,88,Yes,Tim Hill,0,2.9,0,0,21277892
